Ref	Id	Lat	Long
01 - current	01	60,81666667	16,5
12 - Ishida et al (2010) unpublished	12	64,18333333	19,55
04 - Bougoure et al (2007) Molecular Ecology 16: 4626-4636	04	57,15	-3,76666666666667
13 - Kjoller et al (2009) Forest Ecol. Manag. 257: 2217-2225	13	58,46666667	11,66666667
21 - Tedersoo et al (2014) Science 346	21	57,25	-4,96666666666667
21 - Tedersoo et al (2014) Science 346	21	56,66666667	-4,31666666666667
21 - Tedersoo et al (2014) Science 346	21	32,55	76,05
21 - Tedersoo et al (2014) Science 346	21	69,48333333	18,85
21 - Tedersoo et al (2014) Science 346	21	61,13333333	16,88333333
21 - Tedersoo et al (2014) Science 346	21	57,86666667	27,68333333
21 - Tedersoo et al (2014) Science 346	21	68,21666667	21,93333333
21 - Tedersoo et al (2014) Science 346	21	58,2	22,3
09 - Hui et al (2012) Boreal Environment reserach 17: 46-58	09	61	26,33333333
15 - Lindahl et al (2007) New Phytologist 173: 611-620	15	60,81666667	16,5
24 - Wang et al (2017) Plant Soil 411: 467-481	24	47,31666667	14,71666667
24 - Wang et al (2017) Plant Soil 411: 467-481	24	47,31666667	14,71666667
13 - Kjoller et al (2009) Forest Ecol. Manag. 257: 2217-2225	13	58,46666667	11,66666667
06 - Cox et al (2010) Ecology Letters 13: 1103-1113	06	52,91666667	7,833333333
06 - Cox et al (2010) Ecology Letters 13: 1103-1113	06	53,41666667	-1,75
06 - Cox et al (2010) Ecology Letters 13: 1103-1113	06	52,5	13,25
06 - Cox et al (2010) Ecology Letters 13: 1103-1113	06	56,66666667	-4,25
06 - Cox et al (2010) Ecology Letters 13: 1103-1113	06	51,75	13,58333333
06 - Cox et al (2010) Ecology Letters 13: 1103-1113	06	51,25	-13,8333333333333
06 - Cox et al (2010) Ecology Letters 13: 1103-1113	06	49,66666667	11,5
06 - Cox et al (2010) Ecology Letters 13: 1103-1113	06	53,08333333	12,41666667
06 - Cox et al (2010) Ecology Letters 13: 1103-1113	06	49,08333333	10,58333333
