Ref	Id	Lat	Long
01 - current	01	60,81666667	16,5
03 - Berbee & Dee (unpub.)	03	50,63333333	-127,4
11 - Högberg et al (2014)	11	62,35	19,75
09 - Hui et al (2012)	09	61	26,33333333
10 - Huusko et al (2015)	10	64,45	27,55
10 - Huusko et al (2015)	10	60,8	26,91666667
21 - Tedersoo et al (2014)	21	58,11666667	27,01666667
21 - Tedersoo et al (2014)	21	66,7	20,08333333
21 - Tedersoo et al (2014)	21	68,6	21,73333333
21 - Tedersoo et al (2014)	21	68,05	24,03333333
21 - Tedersoo et al (2014)	21	42,05	128,25
21 - Tedersoo et al (2014)	21	42,01666667	128,4166667
21 - Tedersoo et al (2014)	21	49,11666667	13,23333333
21 - Tedersoo et al (2014)	21	57,2	-3,61666666666667
21 - Tedersoo et al (2014)	21	57,25	-4,96666666666667
21 - Tedersoo et al (2014)	21	56,66666667	-4,31666666666667
21 - Tedersoo et al (2014)	21	68,96666667	20,93333333
20 - Steidinger (in rev)	20	54,21666667	-115,3
20 - Steidinger (in rev)	20	49,91666667	-120,066666666667
20 - Steidinger (in rev)	20	46,85	-83,65
18 - Menkis et al (2016)	18	58	18,83333333
22 - Urbina et al (2018)	22	62,8	18,2
