Ref	Id	Lat	Long
01 - current	01	60,81666667	16,5
09 - Hui et al (2012)	09	61	26,33333333
08 - Fransson &Rosling (2014)	08	60,81666667	16,5
21 - Tedersoo et al (2014)	21	57,25	-4,96666666666667
21 - Tedersoo et al (2014)	21	56,66666667	-4,31666666666667
21 - Tedersoo et al (2014)	21	62,6	12,61666667
21 - Tedersoo et al (2014)	21	58,11666667	27,01666667
21 - Tedersoo et al (2014)	21	66,7	20,08333333
18 - Menkis et al (2016)	18	58	18,83333333
07 - Dahl et al (2017)	07	64,11666667	-51,35
05 - Clemmensen et al (2015)	05	65,91666667	17,71666667
05 - Clemmensen et al (2015)	05	66,15	17,91666667
20 - Steidinger (in rev)	20	46,85	-83,65
16 - Lindahl et al (unpub.)	16	64,11666667	19,45
